dti_bucket,income_bracket,default_rate,loan_count
low,<40k,0.18501207856317614,38084
low,40-75k,0.15350507692989845,90212
low,75-120k,0.13739795773245728,70314
low,120k+,0.12785637705228195,47569
medium,<40k,0.2151811331087275,83999
medium,40-75k,0.18544391028270465,243788
medium,75-120k,0.16170093034920208,163487
medium,120k+,0.1494424841213832,70850
high,<40k,0.2519858989424207,85100
high,40-75k,0.23571165650275072,201038
high,75-120k,0.21084487967496615,95990
high,120k+,0.19245585262595827,26219
very_high,<40k,0.29813777835655686,38395
very_high,40-75k,0.2975771510800369,63933
very_high,75-120k,0.27189655960159,21887
very_high,120k+,0.24657198824681684,4084
