,importance
grade_num,0.72186345
term,0.06014494
home_ownership_MORTGAGE,0.033959016
int_rate,0.027643304
home_ownership_RENT,0.021333218
income_to_loan,0.016344428
verification_num,0.012265169
dti,0.011192708
purpose_small_business,0.010223353
emp_length,0.0076764417
pub_rec,0.0071878606
delinq_2yrs,0.0071741394
open_acc,0.005485471
annual_inc,0.0052185734
credit_hist_years,0.00515015
revol_bal,0.0050170934
loan_amnt,0.004340193
installment,0.0042540557
purpose_medical,0.0041556507
total_acc,0.0038955049
purpose_home_improvement,0.003574942
revol_util,0.0034757222
purpose_credit_card,0.003286239
purpose_debt_consolidation,0.0031251733
purpose_major_purchase,0.002800518
purpose_car,0.002610008
purpose_other,0.0025340782
home_ownership_OWN,0.0021620924
home_ownership_OTHER,0.001906451
